"","(Intercept)","z.D_BUI","z.D_LIN","z.D_TRE","z.D_WAT","z.EDGED","z.pBUILD","z.pRDTRK","z.pRGRAS","z.pROADS","z.pTREE","df","logLik","AICc","delta","weight"
"536",-1.146,NA,NA,NA,-0.305,0.523,NA,NA,NA,NA,0.41,6,-824.829,1661.718,0,0.541
"537",-1.146,0.028,NA,NA,-0.301,0.532,NA,NA,NA,NA,0.408,7,-824.799,1663.68,1.962,0.203
"528",-1.139,NA,NA,NA,NA,0.549,NA,NA,NA,NA,0.445,5,-826.929,1663.902,2.184,0.181
"529",-1.138,0.059,NA,NA,NA,0.568,NA,NA,NA,NA,0.438,6,-826.807,1665.674,3.957,0.075
