"","Mean","Median","Std. dev.","Min.","Max."
"D_BUI",200.47,184.14,128.82,9.2,623.77
"D_LIN",22.74,18.33,19.24,5.37,190.97
"D_TRE",180.72,154.98,137.68,0.19,646.47
"D_WAT",201.16,168.36,154.68,13.2,689.27
"EDGED",0.04,0.03,0.02,0,0.13
"pBUILD",0.01,0,0.03,0,0.29
"pRDTRK",0.02,0.01,0.03,0,0.26
"pRGRAS",0.04,0,0.13,0,1
"pROADS",0.02,0,0.03,0,0.26
"pTREE",0.05,0,0.13,0,0.92
