"","Estimate","Std. Error"
"(Intercept)",-1.226,0.18
"fSECTION2",0.171,0.161
"fSECTION3",0.277,0.225
"fSECTION4",0.215,0.187
"fSECTION5",0.258,0.215
"z.DAYNO",0.505,0.129
"z.EDGED",0.502,0.096
"z.pTREE",0.372,0.093
"z.TTMIDN",-0.193,0.109
"I(z.TTMIDN^2)",-0.563,0.2
"z.WINDS",-0.696,0.124
"c.TURB",0.049,0.174
"z.MINTEMP",-0.026,0.076
"c.TURB:fSECTION2",0.049,0.177
"c.TURB:fSECTION3",0.046,0.169
"c.TURB:fSECTION4",-0.016,0.113
"c.TURB:fSECTION5",0.049,0.178
